Date,SPY,FXE,EWJ,GLD,QQQ,SHV,DBA,USO,XBI,ILF,GAF,EPP,FEZ,Mkt-RF,SMB,HML,RF
2007-06-18,122.317314,126.89856,50.452971999999995,64.949997,43.20969,102.379654,27.236282,52.139998999999996,16.298531,34.233189,49.825069,31.399448,41.621494,-0.13,0.01,-0.11,0.019
2007-06-19,122.621384,127.059242,50.418442,65.480003,43.200649,102.407715,26.239717,52.119999,16.242676,34.093906,49.750229,31.715196999999996,41.758781,0.14,0.0,0.15,0.019
2007-06-20,120.917313,126.936356,50.073109,64.709999,42.793606,102.435783,26.346146,51.549999,15.951018,33.391284999999996,49.368496,31.53385,41.188995,-1.29,0.09,-0.18,0.019
2007-06-21,121.58933999999999,126.785164,50.314842,64.559998,43.182556,102.445198,26.288092,51.599998,15.947917000000002,33.753433,49.061642,31.860290999999997,41.449871,0.56,-0.16,0.01,0.019
2007-06-22,120.44532,127.52231599999999,49.831375,64.779999,42.77552,102.473206,25.823673,51.889998999999996,15.699707,33.397476,48.275757,31.444247999999998,41.017390999999996,-1.25,0.62,-0.01,0.019
2007-06-25,119.86927,127.560204,49.555107,64.43,42.594597,102.482567,25.446331,51.959998999999996,15.519748000000002,32.840328,47.976364,31.465586,40.928143,-0.39,-0.42,-0.1,0.019
2007-06-26,118.637222,127.475121,49.624176,63.619999,42.350372,102.491936,25.804323,51.119999,15.454589000000002,32.314147999999996,47.377598,31.228752000000004,40.729073,-0.35,0.14,-0.31,0.019
2007-06-27,120.325249,127.418388,49.727776,63.669998,43.001659000000004,102.519989,25.388279,51.880001,15.916887,32.739754,47.804218,31.064474,40.989925,0.92,0.47,-0.39,0.019
2007-06-28,120.309265,127.40896599999999,49.624176,64.260002,42.983559,102.54806500000001,25.456007,52.470001,15.972741000000001,32.922356,48.35059,31.333294,41.134083000000004,0.03,0.14,0.15,0.019
2007-06-29,120.349274,128.26908899999998,50.107642999999996,64.269997,43.055923,102.576164,25.543085,53.0,15.783472,33.038425,47.998821,31.324764000000002,41.312571999999996,-0.19,-0.35,0.11,0.019
2007-07-02,121.43730900000001,129.189392,51.005497,65.019997,43.444881,102.579895,25.456007,53.529999,16.034796,33.691521,49.323601,31.896553000000004,41.94413,1.06,-0.07,0.11,0.019
2007-07-03,121.87735,129.13249199999998,50.901901,64.739998,43.698135,102.561134,25.127043,53.540001000000004,16.112364000000003,33.891163,49.398445,31.806946000000003,42.143208,0.36,-0.05,-0.1,0.019
2007-07-05,121.74936699999999,129.018784,50.763767,64.41999799999999,44.014732,102.608101,25.514060999999998,54.150002,16.140287,34.27652,48.956856,32.003231,41.94413,0.07,0.2,-0.6,0.019
2007-07-06,122.38933600000001,129.274597,50.52203,64.959999,44.195644,102.608101,25.843023000000002,54.68,16.165110000000002,34.573665999999996,49.622978,32.336067,42.287372999999995,0.4,-0.07,-0.08,0.019
2007-07-09,122.485374,129.170319,50.52203,65.379997,44.222782,102.636299,25.775295,54.349998,16.258186,34.666519,50.259171,32.664631,42.307964,0.1,0.06,-0.06,0.019
2007-07-10,120.74131000000001,130.26976000000002,50.625637,65.610001,43.851913,102.67388199999999,26.278418,54.720001,16.165110000000002,34.059864000000005,49.58556,32.216578999999996,41.669548,-1.43,-0.15,-0.37,0.019
2007-07-11,121.597351,130.48779299999998,50.452971999999995,65.440002,44.15041,102.67388199999999,26.297767999999998,54.66,16.264395,34.655685,49.817581,32.333935,42.067699,0.55,-0.29,-0.1,0.019
2007-07-12,123.51744099999999,130.81002800000002,50.798302,66.019997,44.828815000000006,102.692696,26.559003999999998,54.740002000000004,16.391607,35.687946000000004,50.857941,32.924923,43.083690999999995,1.78,-0.18,-0.32,0.019
2007-07-13,123.88539899999999,130.866898,51.040031,66.029999,45.136364,102.71141800000001,26.675109999999997,55.540001000000004,16.525023,35.780796,50.723221,32.937729,42.932671,0.28,-0.31,0.08,0.019
2007-07-16,123.869431,130.791031,50.936432,65.82,45.091133,102.720833,25.775295,55.759997999999996,16.289219,35.403178999999994,50.446293,32.749977,42.925804,-0.31,-0.46,-0.23,0.019
2007-07-17,123.805443,130.791031,50.660168,65.75,45.43486,102.739616,25.252825,55.639998999999996,16.264395,35.362938,50.341503,32.788376,42.740456,0.02,0.16,-0.23,0.019
2007-07-18,123.58146699999999,130.980637,50.418442,66.620003,45.380581,102.767799,25.707567,56.580002,16.289219,35.440334,50.363953,32.6689,42.493328000000005,-0.25,-0.21,-0.19,0.019
2007-07-19,124.06145500000001,130.961594,50.660168,67.010002,45.516281,102.786621,25.591463,57.080002,16.459856,35.752941,51.194759,33.040138,42.740456,0.44,0.34,-0.48,0.019
2007-07-20,122.80540500000001,131.274399,50.452971999999995,67.58000200000001,45.272040999999994,102.824188,25.523735000000002,57.0,16.140287,35.246876,50.887871,32.993198,42.040248999999996,-1.25,-0.27,-0.19,0.019
2007-07-23,123.18139599999999,131.056442,50.763767,67.470001,45.290123,102.824188,24.865807999999998,56.380001,16.115463000000002,36.051632,51.711182,33.294025,42.307964,0.36,-0.42,-0.42,0.019
2007-07-24,121.04531100000001,131.245972,50.591095,67.470001,44.620781,102.833603,25.088343,55.16,15.978947,34.623184,50.633408,32.901451,41.443005,-2.04,-0.53,-0.22,0.019
2007-07-25,121.293304,130.307693,50.625637,66.900002,44.684086,102.861786,25.185097,57.439999,16.227161,34.395691,50.558563,33.06361,41.230202,0.3,-0.41,0.08,0.019
2007-07-26,118.42121100000001,130.544678,49.727776,65.650002,44.304184,102.91816700000001,25.272175,56.220001,16.087543,32.615932,48.50029,31.427176,39.877815000000005,-2.36,-0.01,-0.23,0.019
2007-07-27,116.093147,129.596893,49.244316,65.410004,43.408691,102.91816700000001,25.156069,57.740002000000004,15.755548999999998,32.538559,47.317719,30.584421000000003,39.335499,-1.51,-0.06,0.14,0.019
